Date,Forcast,Actuals
2020-01-02,25.222066212898596,26.37838363647461
2020-01-03,25.885248355691488,26.138580322265625
2020-01-06,26.13007162055922,26.61819076538086
2020-01-07,26.09608632627382,26.37838363647461
2020-01-08,26.221548993791146,26.37838363647461
2020-01-09,26.13697730100168,26.61819076538086
2020-01-10,26.254028110860702,27.0977954864502
2020-01-13,26.055102202221292,26.61819076538086
2020-01-14,27.0348767963367,26.857992172241214
2020-01-15,27.38569767747003,26.857992172241214
2020-01-16,27.413063054495435,28.296812057495117
2020-01-17,27.405192725961907,28.057008743286133
2020-01-20,27.32080733182178,28.296812057495117
2020-01-21,27.39430530659035,28.057008743286133
2020-01-22,27.21763419253642,28.296812057495117
2020-01-23,28.314652210368646,29.016222000122067
2020-01-24,28.856847589634693,29.25602722167969
2020-01-27,28.902994396596878,29.25602722167969
2020-01-28,28.761446893151852,29.016222000122067
2020-01-29,28.73425360555677,29.49583053588867
2020-01-30,28.778580053682614,29.25602722167969
2020-01-31,28.502599129113943,29.016222000122067
2020-02-03,28.16004801344874,27.5774040222168
2020-02-04,28.787669217447412,28.536617279052734
2020-02-05,28.763982449345402,29.016222000122067
2020-02-06,28.72612277467459,28.77642059326172
2020-02-07,28.818776355480733,26.857992172241214
2020-02-11,28.86879754282833,28.296812057495117
2020-02-12,28.296041291060074,28.057008743286133
2020-02-13,27.334509755360894,27.5774040222168
2020-02-14,27.706976013464068,27.81720542907715
2020-02-17,27.677739755934706,27.81720542907715
2020-02-18,27.791345619583065,28.536617279052734
2020-02-19,27.914683219456233,28.296812057495117
2020-02-20,27.927720967305756,27.5774040222168
2020-02-21,27.409655999535484,27.337596893310547
2020-02-24,27.17406241182061,27.81720542907715
2020-02-25,27.365291660158928,27.5774040222168
2020-02-26,27.35566412487358,28.536617279052734
2020-02-27,27.461274934621482,27.337596893310547
2020-02-28,27.590206230381167,27.81720542907715
2020-03-02,27.582920058629465,25.898778915405273
2020-03-03,27.230510902570412,26.61819076538086
2020-03-04,25.76131870502593,25.658973693847656
2020-03-05,25.73386807268642,25.419170379638672
2020-03-06,25.666721618818627,26.37838363647461
2020-03-09,25.92753183388305,26.37838363647461
2020-03-10,26.065422831634265,27.0977954864502
2020-03-11,26.112696903305164,26.37838363647461
2020-03-12,25.785076519223026,23.21297836303711
2020-03-13,22.745847717965432,24.22015380859375
2020-03-16,22.544356255892325,23.69258689880371
2020-03-17,22.23146451672278,20.910865783691406
2020-03-18,22.798807056045405,21.102706909179688
2020-03-19,23.097499049010224,19.951650619506836
2020-03-20,23.322123119643663,19.472042083740234
2020-03-23,22.701991752869276,20.335338592529297
2020-03-24,21.742274260797984,21.006786346435547
2020-03-25,21.30871309732632,22.349685668945312
2020-03-26,21.040443042277758,20.719022750854492
2020-03-27,21.19249905258721,21.58231544494629
2020-03-30,21.573492420902937,22.541528701782227
2020-03-31,22.00168092078391,22.541528701782227
2020-04-01,21.72274921506596,23.21297836303711
2020-04-02,23.839897587825135,23.021135330200195
2020-04-03,23.746503548827974,23.30889892578125
2020-04-07,23.55352340894629,23.30889892578125
2020-04-08,23.337721684520545,24.459957122802734
2020-04-09,23.445359676181596,24.22015380859375
2020-04-10,23.8923959156881,24.939565658569336
2020-04-13,24.025990992889717,24.699758529663086
2020-04-14,25.137529253755616,24.459957122802734
2020-04-15,25.446478724048887,24.699758529663086
2020-04-16,25.284252070527202,25.658973693847656
2020-04-17,25.106857865105496,25.074708938598633
2020-04-20,25.11456084061504,24.58782196044922
2020-04-21,25.44303693544245,26.04848289489746
2020-04-22,25.38336926718415,26.77881622314453
2020-04-23,26.542699446814023,26.291927337646484
2020-04-24,27.07290540283361,27.022260665893555
2020-04-27,26.99881695607476,27.022260665893555
2020-04-28,26.867143281044715,26.77881622314453
2020-04-29,26.795653542563937,27.91518592834473
2020-04-30,26.976036420385636,27.668148040771488
2020-05-05,26.800735706565828,26.92703628540039
2020-05-07,26.45787356688436,26.680000305175778
2020-05-08,27.061817475593696,26.680000305175778
2020-05-11,26.966963044641968,26.680000305175778
2020-05-12,27.057745744944153,26.92703628540039
2020-05-13,27.040205253468226,27.174074172973633
2020-05-14,27.16740933971624,28.162221908569336
2020-05-15,26.6500500964905,27.91518592834473
2020-05-18,27.669992573965995,28.409259796142578
2020-05-19,28.23938281962924,28.409259796142578
2020-05-20,28.23752141193796,28.656295776367188
2020-05-21,28.23184403953945,28.656295776367188
2020-05-22,28.193217067041697,28.656295776367188
2020-05-25,28.237860854392263,28.409259796142578
2020-05-26,27.855274474744473,27.91518592834473
2020-05-27,29.458042803865222,28.656295776367188
2020-05-28,30.115904383537153,30.879629135131836
2020-05-29,30.182487205050588,30.63259315490723
2020-06-01,29.96146280323489,31.126667022705078
2020-06-02,29.901136774495452,31.126667022705078
2020-06-04,29.91230048423679,31.62074089050293
2020-06-05,29.675387017955412,31.867778778076172
2020-06-08,30.846090888007662,32.608890533447266
2020-06-09,31.828194215239815,32.36185073852539
2020-06-10,31.78188163405576,31.62074089050293
2020-06-11,31.50916251465264,30.138519287109375
2020-06-12,31.49948130009545,30.385555267333988
2020-06-15,31.55106550153496,30.138519287109375
2020-06-16,31.10002699867189,29.397407531738278
2020-06-17,30.386809459312385,30.138519287109375
2020-06-18,31.270990743087165,30.879629135131836
2020-06-19,31.19999990607411,31.62074089050293
2020-06-22,31.060365910790093,31.867778778076172
2020-06-23,31.137152530360137,31.62074089050293
2020-06-24,31.160204620012703,31.126667022705078
2020-06-25,30.572519215463497,30.879629135131836
2020-06-26,30.52895374995614,30.385555267333988
2020-06-29,31.314497792916338,31.373703002929688
2020-06-30,31.241285581330228,31.373703002929688
2020-07-01,31.12903432989486,31.373703002929688
2020-07-02,31.232213784388673,31.126667022705078
2020-07-03,31.209423775886872,31.62074089050293
2020-07-07,30.69086622185733,31.62074089050293
2020-07-08,31.33212985491482,31.62074089050293
2020-07-09,32.04767454858895,31.62074089050293
2020-07-10,32.00038311009481,31.373703002929688
2020-07-13,31.814389169563352,33.349998474121094
2020-07-14,31.824812421113673,33.102962493896484
2020-07-15,31.77254775596344,34.09111022949218
2020-07-16,31.53700784752041,33.349998474121094
2020-07-17,32.849975997177005,33.59703826904297
2020-07-20,33.7306618130735,34.09111022949218
2020-07-21,33.59958492524219,34.09111022949218
2020-07-22,33.38279644949579,33.84407424926758
2020-07-23,33.195932589000044,33.102962493896484
2020-07-24,33.17642648889338,32.608890533447266
2020-07-29,33.18106027309516,33.349998474121094
2020-07-30,32.40121886336728,32.855926513671875
2020-07-31,33.325868002903626,33.349998474121094
2020-08-03,33.154953201353855,32.608890533447266
2020-08-04,33.04128892202731,32.855926513671875
2020-08-05,32.931593751212965,32.855926513671875
2020-08-06,32.93097012437831,32.608890533447266
2020-08-07,32.688379285698424,32.11481475830078
2020-08-10,32.01199993604259,32.608890533447266
2020-08-11,32.8364204022344,32.36185073852539
2020-08-13,32.680073207781696,32.855926513671875
2020-08-14,32.61720688644237,32.608890533447266
2020-08-17,32.584563573953055,32.855926513671875
2020-08-18,32.528473471282915,33.349998474121094
2020-08-19,32.24612208018811,32.855926513671875
2020-08-20,32.36006580748866,32.608890533447266
2020-08-21,33.13375936178834,32.855926513671875
2020-08-24,32.98885848265521,33.349998474121094
2020-08-25,32.90274587900341,33.102962493896484
2020-08-26,32.8259024225573,33.349998474121094
2020-08-27,32.73961457187095,33.349998474121094
2020-08-28,32.61294412073715,33.75
2020-08-29,32.37734737541805,
2020-08-30,33.142632229663654,
2020-08-31,32.99971748358873,
2020-09-01,32.90980312444872,
2020-09-02,32.83312070581814,
2020-09-03,32.74219117691944,
2020-09-04,32.63012938173764,
